Year,Month,Campaign ID,Campaign Name,Campaign Status,Channel Type,Impressions,Clicks,CTR,Cost ($),Avg CPC ($),Conversions,Conv. Value ($),Cost/Conv ($),ROAS,Search Impr. Share,Search Lost IS (Budget),Search Lost IS (Rank),Interactions,Interaction Rate
2022,2022-03-01,16460791884,California | Search | Best Grass Seed,REMOVED,SEARCH,265,37,0.1396226415,161.29,4.36,0,0,0,0,0.8801369863,,0.1198630137,37,0.1396226415
2022,2022-03-01,12453606893,Florida Tropics | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,211,22,0.1042654028,21.98,1,3,394.16,7.33,17.93,0.2229299363,,0.7770700637,22,0.1042654028
2022,2022-03-01,12455893806,Great Lakes / New England | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,579,66,0.1139896373,56.67,0.86,3.5,421.39,16.19,7.44,0.273467433,,0.726532567,66,0.1139896373
2022,2022-03-01,16583838906,Great Lakes / New England | Search | Pasture Seed,REMOVED,SEARCH,76,5,0.06578947368,7.77,1.55,0,0,0,0,0.0999,,0.9001,5,0.06578947368
2022,2022-03-01,12453610247,Great Plains | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,251,16,0.06374501992,14.7,0.92,1,26.02,14.7,1.77,0.0999,,0.9001,16,0.06374501992
2022,2022-03-01,12455938522,Intermountain West | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,734,100,0.136239782,80.87,0.81,2.25,66.2,35.94,0.82,0.3591022444,,0.6408977556,100,0.136239782
2022,2022-03-01,16595988440,Intermountain West | Search | Pasture Seed,REMOVED,SEARCH,72,3,0.04166666667,2.36,0.79,0,0,0,0,0.0999,,0.9001,3,0.04166666667
2022,2022-03-01,12425316629,Midwest / Mid-Atlantic | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,2187,161,0.0736168267,165.87,1.03,6.08,1007.1,27.27,6.07,0.1512413744,,0.8487586256,161,0.0736168267
2022,2022-03-01,16503493089,Nat | PMax | Catch All,REMOVED,PERFORMANCE_MAX,328041,5318,0.01621138821,1649.16,0.31,298.56,20207.08,5.52,12.25,,,,5340,0.016278453
2022,2022-03-01,12118276038,Pacific Northwest | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,1728,287,0.166087963,288.54,1.01,13.75,3543.61,20.98,12.28,0.733534223,,0.266465777,287,0.166087963
2022,2022-03-01,12455805507,Pacific Southwest | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,180,13,0.07222222222,19.93,1.53,2,340.01,9.96,17.06,0.1373182553,,0.8626817447,13,0.07222222222
2022,2022-03-01,16595988443,Pacific Southwest | Search | Pasture Seed,REMOVED,SEARCH,50,3,0.06,1.99,0.66,0,0,0,0,0.0999,,0.9001,3,0.06
2022,2022-03-01,187765054,Search | Brand | ROAS,ENABLED,SEARCH,1618,602,0.3720642769,870.21,1.45,95.46,17739.42,9.12,20.39,0.922761849,,0.07723815097,602,0.3720642769
2022,2022-03-01,12425316635,South-Atlantic Transitional | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,756,43,0.05687830688,36.04,0.84,1,169.34,36.04,4.7,0.1167577999,,0.8832422001,43,0.05687830688
2022,2022-03-01,12428489722,Southern Subtropics | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,292,26,0.08904109589,17.26,0.66,0,0,0,0,0.1120792079,,0.8879207921,26,0.08904109589
2022,2022-03-01,16595988446,Southern Subtropics | Search | Pasture Seed,REMOVED,SEARCH,36,2,0.05555555556,2.99,1.5,0,0,0,0,0.0999,,0.9001,2,0.05555555556
2022,2022-03-01,12453610238,Southwest Desert | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,442,67,0.1515837104,64.06,0.96,2.67,2382.36,24.02,37.19,0.3476112026,,0.6523887974,67,0.1515837104
2022,2022-03-01,12453610304,Southwest Steppe | DSA | Forage Mixes and Pasture Seed,REMOVED,SEARCH,119,18,0.1512605042,14.65,0.81,0,0,0,0,0.1213692946,,0.8786307054,18,0.1512605042
